sample,split,material,material_asset,base_color_texture,scene,crack_object
"crack_000001","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000002","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000003","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_4/Pole/Crack_Decal"
"crack_000004","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_11/Pole/Crack_Decal"
"crack_000005","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_9/Pole/Crack_Decal"
"crack_000006","test","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_13/Pole/Crack_Decal"
"crack_000007","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000008","test","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_8/Pole/Crack_Decal"
"crack_000009","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000010","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000011","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_9/Pole/Crack_Decal"
"crack_000012","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000013","val","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_11/Pole/Crack_Decal"
"crack_000014","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000015","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_8/Pole/Crack_Decal"
"crack_000016","train","mat_crack_7","Assets/Materials/decals/mat_crack_7.mat","Assets/Textures/Concrete_cracks/CC_2.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_12/Pole/Crack_Decal"
"crack_000017","train","mat_crack_6","Assets/Materials/decals/mat_crack_6.mat","Assets/Textures/Concrete_cracks/CC_1.png","Assets/Scenes/Energy/demo_facet.unity","wind farm 2/wind_turbine_2/Pole/Crack_Decal"
